RUA BARÃO DE PARANAPIACABA, 93                                          SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004904 
RUA BENJAMIN CONSTANT                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005000 
LARGO SÃO FRANCISCO                                                     SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005010 
RUA SÃO FRANCISCO                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005020 
RUA DO OUVIDOR                                                          SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005030 
RUA BENJAMIN CONSTANT, 153                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005900 
RUA BENJAMIN CONSTANT, 153                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005900 
RUA SENADOR FEIJÓ                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006000 
RUA SENADOR FEIJÓ                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006001 
RUA SENADOR PAULO EGÍDIO                                                SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006010 
RUA CRISTÓVÃO COLOMBO                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006020 
VIADUTO BRIGADEIRO LUIZ ANTÔNIO                                         SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006030 
PRAÇA PAULO ALFEU DE MONTEIRO DUARTE                                    SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006040 
RUA SENADOR FEIJÓ, 69                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006900 
RUA SENADOR FEIJÓ, 69                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006900 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006901 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006901 
RUA SENADOR PAULO EGÍDIO, 15                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006903 
RUA SENADOR PAULO EGÍDIO, 15                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006903 
RUA SENADOR PAULO EGÍDIO, 72                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006904 
RUA SENADOR PAULO EGÍDIO, 72                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006904 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006905 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006905 
